Pixel number	Blaze function
0	0.0265
1	0.0275
2	0.0287
3	0.0303
4	0.0321
5	0.0341
6	0.0362
7	0.0385
8	0.0409
9	0.0433
10	0.0458
11	0.0483
12	0.0507
13	0.0534
14	0.0562
15	0.0590
16	0.0619
17	0.0648
18	0.0677
19	0.0708
20	0.0744
21	0.0780
22	0.0816
23	0.0852
24	0.0890
25	0.0928
26	0.0966
27	0.1003
28	0.1041
29	0.1077
30	0.1115
31	0.1154
32	0.1194
33	0.1235
34	0.1277
35	0.1320
36	0.1363
37	0.1406
38	0.1450
39	0.1493
40	0.1535
41	0.1576
42	0.1617
43	0.1659
44	0.1703
45	0.1749
46	0.1796
47	0.1845
48	0.1896
49	0.1948
50	0.2003
51	0.2058
52	0.2115
53	0.2171
54	0.2229
55	0.2289
56	0.2349
57	0.2409
58	0.2472
59	0.2535
60	0.2598
61	0.2661
62	0.2726
63	0.2788
64	0.2852
65	0.2916
66	0.2984
67	0.3051
68	0.3119
69	0.3189
70	0.3259
71	0.3331
72	0.3404
73	0.3475
74	0.3545
75	0.3613
76	0.3681
77	0.3752
78	0.3825
79	0.3898
80	0.3973
81	0.4047
82	0.4126
83	0.4204
84	0.4283
85	0.4360
86	0.4435
87	0.4505
88	0.4577
89	0.4649
90	0.4721
91	0.4788
92	0.4856
93	0.4923
94	0.4989
95	0.5053
96	0.5117
97	0.5179
98	0.5238
99	0.5296
100	0.5356
101	0.5417
102	0.5480
103	0.5543
104	0.5607
105	0.5671
106	0.5737
107	0.5801
108	0.5866
109	0.5929
110	0.5994
111	0.6057
112	0.6124
113	0.6192
114	0.6267
115	0.6339
116	0.6413
117	0.6487
118	0.6563
119	0.6634
120	0.6707
121	0.6776
122	0.6847
123	0.6914
124	0.6985
125	0.7054
126	0.7127
127	0.7198
128	0.7270
129	0.7338
130	0.7407
131	0.7470
132	0.7533
133	0.7592
134	0.7655
135	0.7713
136	0.7772
137	0.7833
138	0.7896
139	0.7960
140	0.8028
141	0.8091
142	0.8156
143	0.8215
144	0.8277
145	0.8338
146	0.8396
147	0.8451
148	0.8508
149	0.8559
150	0.8610
151	0.8657
152	0.8708
153	0.8756
154	0.8803
155	0.8850
156	0.8903
157	0.8950
158	0.9001
159	0.9057
160	0.9115
161	0.9164
162	0.9216
163	0.9262
164	0.9310
165	0.9344
166	0.9381
167	0.9408
168	0.9434
169	0.9456
170	0.9482
171	0.9501
172	0.9525
173	0.9540
174	0.9557
175	0.9577
176	0.9601
177	0.9621
178	0.9644
179	0.9665
180	0.9692
181	0.9715
182	0.9749
183	0.9783
184	0.9814
185	0.9843
186	0.9872
187	0.9897
188	0.9915
189	0.9928
190	0.9946
191	0.9956
192	0.9963
193	0.9965
194	0.9975
195	0.9982
196	0.9987
197	0.9993
198	1.0000
199	0.9999
200	0.9999
201	1.0000
202	0.9999
203	0.9992
204	0.9992
205	0.9991
206	0.9996
207	0.9997
208	1.0000
209	0.9996
210	0.9995
211	0.9990
212	0.9984
213	0.9969
214	0.9954
215	0.9931
216	0.9914
217	0.9894
218	0.9880
219	0.9861
220	0.9843
221	0.9820
222	0.9798
223	0.9773
224	0.9751
225	0.9722
226	0.9697
227	0.9664
228	0.9635
229	0.9605
230	0.9578
231	0.9544
232	0.9510
233	0.9475
234	0.9442
235	0.9404
236	0.9370
237	0.9332
238	0.9301
239	0.9265
240	0.9237
241	0.9200
242	0.9169
243	0.9135
244	0.9102
245	0.9063
246	0.9025
247	0.8975
248	0.8925
249	0.8873
250	0.8828
251	0.8769
252	0.8708
253	0.8646
254	0.8586
255	0.8524
256	0.8468
257	0.8409
258	0.8349
259	0.8286
260	0.8221
261	0.8161
262	0.8104
263	0.8045
264	0.7983
265	0.7920
266	0.7856
267	0.7793
268	0.7735
269	0.7675
270	0.7612
271	0.7541
272	0.7472
273	0.7403
274	0.7333
275	0.7265
276	0.7196
277	0.7125
278	0.7056
279	0.6986
280	0.6920
281	0.6849
282	0.6777
283	0.6703
284	0.6630
285	0.6555
286	0.6480
287	0.6402
288	0.6323
289	0.6246
290	0.6170
291	0.6095
292	0.6019
293	0.5940
294	0.5858
295	0.5774
296	0.5696
297	0.5617
298	0.5534
299	0.5453
300	0.5371
301	0.5292
302	0.5213
303	0.5134
304	0.5056
305	0.4973
306	0.4889
307	0.4807
308	0.4723
309	0.4637
310	0.4553
311	0.4471
312	0.4393
313	0.4313
314	0.4237
315	0.4163
316	0.4098
317	0.4041
318	0.3994
319	0.3955
